id,matchDate,Country,League,Season,homeTeam,awayTeam,referee,FTHG,FTAG,FTR,HBPFT,ABPFT,HBP1H,ABP1H,HBP2H,ABP2H,HTSFT,ATSFT,HTS1H,ATS1H,HTS2H,ATS2H,HSONFT,ASONFT,HSON1H,ASON1H,HSON2H,ASON2H,HSOFFFT,ASOFFFT,HSOFF1H,ASOFF1H,HSOFF2H,ASOFF2H,H,D,A,O05,U05,O15,U15,O25,U25,O35,U35,O45,U45,BTTSY,BTTSN,total_goals,over25,home_conceded,away_conceded,home_goals_last5,away_goals_last5,home_goals_last3,away_goals_last3,home_goals_ewm,away_goals_ewm,home_conceded_last5,away_conceded_last5,home_conceded_last3,away_conceded_last3,home_goals_at_home_last5,home_conceded_at_home_last5,away_goals_away_last5,away_conceded_away_last5,home_shots_last5,away_shots_last5,home_sot_last5,away_sot_last5,home_pos_last5,away_pos_last5,home_shot_accuracy,away_shot_accuracy,home_conversion_last5,away_conversion_last5,home_points,away_points,home_form_last5,away_form_last5,form_diff,h2h_avg_goals,h2h_over25_rate,home_attack_score,away_attack_score,combined_attack,home_rest_days,away_rest_days,rest_diff,home_fatigued,away_fatigued,home_table_pos,away_table_pos,table_pos_diff,home_table_pts,away_table_pts,home_table_gd,away_table_gd,home_elo,away_elo,elo_diff,elo_home_win_prob,elo_sum
6945,2016-08-13 16:00:00,England,Premier League,2016/2017,Everton,Tottenham,Martin Atkinson,1,1,D,42,58,41,59,43,57,12,13,7,4,5,9,6,4,5,1,1,3,4,4,1,1,3,3,3.64,3.4,2.26,1.02,10.5,1.3,3.56,2.09,1.86,3.52,1.3,6.6,1.09,1.73,2.11,2,0,1,1,1.6666666666666667,1.6,1.8333333333333333,1.1666666666666667,1.6066840845576702,1.5319241529154035,0.8,2.1333333333333333,0.6666666666666666,2.5,1.6666666666666667,0.8,1.6,2.1333333333333333,11.866666666666667,16.333333333333332,5.533333333333333,4.8,47.8,56.93333333333333,0.5,0.3076923076923077,0.3022222222222222,0.3188888888888889,1,1,1.8666666666666667,1.0,0.8666666666666667,1.0,0.0,1.1881481481481482,1.2162962962962964,2.4044444444444446,90,90,0,0,0,1,1,0,0,0,0,0,1500.0,1500.0,0.0,0.5924662305843318,3000.0
6944,2016-08-13 16:00:00,England,Premier League,2016/2017,Crystal Palace,West Brom,Craig Pawson,0,1,A,63,37,63,37,63,37,14,13,4,5,10,8,4,3,1,1,3,2,7,8,2,2,5,6,2.23,3.2,3.98,1.07,7.2,1.45,2.78,2.63,1.59,4.84,1.18,9.3,1.03,2.06,1.76,1,0,1,0,0.6666666666666666,0.8666666666666667,0.6666666666666666,1.0,0.6681626471220034,0.8675821969382894,0.6666666666666666,0.8666666666666667,0.8333333333333334,0.5,0.6666666666666666,0.6666666666666666,0.8666666666666667,0.8666666666666667,15.2,12.666666666666666,4.533333333333333,2.933333333333333,58.66666666666666,33.8,0.2857142857142857,0.2307692307692307,0.16,0.2777777777777777,0,3,1.4,1.4666666666666666,-0.0666666666666666,3.5,0.5,0.8622222222222221,0.7659259259259259,1.628148148148148,90,90,0,0,0,1,1,0,0,0,0,0,1500.0,1500.0,0.0,0.5924662305843318,3000.0
6947,2016-08-13 16:00:00,England,Premier League,2016/2017,Southampton,Watford,Roger East,1,1,D,65,35,62,38,68,32,24,5,7,3,17,2,6,1,3,1,3,0,10,4,4,2,6,2,1.83,3.76,5.0,1.03,9.2,1.31,3.44,2.14,1.84,3.64,1.29,6.9,1.08,1.89,1.91,2,0,1,1,2.8,1.0666666666666669,2.5,1.1666666666666667,2.490792771136064,1.0012701932166646,1.2666666666666666,2.2,1.1666666666666667,2.1666666666666665,2.8,1.2666666666666666,1.0666666666666669,2.2,19.33333333333333,9.066666666666666,5.866666666666666,3.6,53.06666666666667,40.266666666666666,0.25,0.2,0.4898412698412698,0.4595238095238095,1,1,2.333333333333333,0.5333333333333333,1.8000000000000005,1.0,0.0,1.754074074074074,0.797037037037037,2.551111111111111,90,90,0,0,0,1,1,0,0,0,0,0,1500.0,1500.0,0.0,0.5924662305843318,3000.0
6942,2016-08-13 18:30:00,England,Premier League,2016/2017,Manchester City,Sunderland,Robert Madley,2,1,H,77,23,74,26,81,19,16,7,8,5,8,2,4,3,3,2,1,1,8,2,5,1,3,1,1.26,6.5,15.0,1.01,17.0,1.14,5.8,1.57,2.69,2.36,1.59,4.14,1.2,1.95,1.74,3,1,1,2,2.2666666666666666,1.5333333333333334,2.333333333333333,1.3333333333333333,2.2289101136917058,1.4360526254166153,1.0666666666666669,1.4666666666666666,1.1666666666666667,1.8333333333333333,2.2666666666666666,1.0666666666666669,1.5333333333333334,1.4666666666666666,14.733333333333333,8.733333333333333,4.066666666666666,3.733333333333333,63.333333333333336,36.8,0.25,0.4285714285714285,0.5444444444444444,0.4344444444444443,3,0,2.2666666666666666,0.9333333333333332,1.3333333333333333,3.0,0.5,1.354074074074074,0.9540740740740742,2.308148148148148,90,90,0,0,0,6,6,0,0,0,0,0,1500.0,1500.0,0.0,0.5924662305843318,3000.0
6941,2016-08-14 14:30:00,England,Premier League,2016/2017,Bournemouth,Manchester Utd,Andre Marriner,1,3,A,47,53,51,49,43,57,9,11,3,5,6,6,3,7,0,3,3,4,2,2,2,1,0,1,5.6,3.7,1.78,1.02,10.5,1.3,3.56,2.12,1.86,3.56,1.3,6.8,1.08,1.86,1.94,4,1,3,1,0.9333333333333332,1.8,1.0,2.333333333333333,1.0567512106285335,1.7602798803606985,2.6,1.5333333333333334,2.5,1.5,0.9333333333333332,2.6,1.8,1.5333333333333334,11.8,8.466666666666667,3.533333333333333,3.6666666666666665,52.93333333333333,56.93333333333333,0.3333333333333333,0.6363636363636364,0.2611111111111111,0.5261904761904762,0,3,0.2666666666666666,1.8,-1.5333333333333334,3.5,1.0,0.8088888888888889,1.0325925925925925,1.8414814814814813,88,88,0,0,0,7,7,0,0,0,0,0,1500.0,1500.0,0.0,0.5924662305843318,3000.0
6940,2016-08-14 17:00:00,England,Premier League,2016/2017,Arsenal,Liverpool,Michael Oliver,3,4,A,51,49,51,49,51,49,9,16,6,8,3,8,5,7,3,3,2,4,3,3,2,3,1,0,2.77,3.4,2.8,1.02,13.0,1.2,4.54,1.79,2.22,2.73,1.46,4.9,1.15,1.56,2.43,7,1,4,3,2.6,2.2,3.0,2.5,2.573678431009613,2.3790956315514817,1.4,2.2,2.0,2.333333333333333,2.6,1.4,2.2,2.2,13.466666666666669,13.133333333333333,5.333333333333333,5.133333333333334,61.06666666666667,54.53333333333333,0.5555555555555556,0.4375,0.4746031746031746,0.4052910052910052,0,3,1.8666666666666667,1.6666666666666667,0.1999999999999999,3.0,0.5,1.5214814814814817,1.3674074074074074,2.8888888888888893,91,91,0,0,0,8,8,0,0,0,0,0,1500.0,1500.0,0.0,0.5924662305843318,3000.0
6939,2016-08-15 21:00:00,England,Premier League,2016/2017,Chelsea,West Ham,Anthony Taylor,2,1,H,62,38,61,39,63,37,16,7,7,1,9,6,6,3,2,0,4,3,6,2,4,1,2,1,1.55,4.44,7.0,1.02,13.0,1.2,4.54,1.79,2.22,2.8,1.44,5.1,1.14,1.75,2.08,3,1,1,2,1.4666666666666666,1.6,1.6666666666666667,1.3333333333333333,1.612650943793195,1.5713698903157702,1.5333333333333334,1.6,1.1666666666666667,1.6666666666666667,1.4666666666666666,1.5333333333333334,1.6,1.6,15.4,12.133333333333333,4.933333333333334,4.266666666666667,55.53333333333333,48.93333333333333,0.375,0.4285714285714285,0.2844444444444444,0.3988888888888888,3,0,1.5333333333333334,0.8,0.7333333333333334,3.5,1.0,1.16,1.0874074074074074,2.2474074074074077,92,92,0,0,0,9,9,0,0,0,0,0,1500.0,1500.0,0.0,0.5924662305843318,3000.0
6938,2016-08-19 21:00:00,England,Premier League,2016/2017,Manchester Utd,Southampton,Anthony Taylor,2,0,H,43,57,47,53,39,61,12,13,4,6,8,7,5,1,3,1,2,0,6,9,1,3,5,6,1.54,4.34,7.5,1.01,12.0,1.25,3.98,1.94,2.02,3.2,1.35,6.0,1.1,1.92,1.88,2,0,0,2,2.0,1.4666666666666666,2.1666666666666665,1.3333333333333333,1.9352451920248432,1.2614459364544646,0.4666666666666667,1.5333333333333334,0.5,1.6666666666666667,2.0,0.4666666666666667,1.4666666666666666,1.5333333333333334,14.4,13.4,5.8,2.8666666666666667,59.4,48.73333333333333,0.4166666666666667,0.0769230769230769,0.37,0.4142857142857143,3,0,2.6,1.5333333333333334,1.0666666666666669,3.0,0.5,1.3733333333333333,0.977777777777778,2.351111111111111,5,6,-1,0,0,1,12,11,3,1,2,0,1517.77398691753,1498.1506753883134,19.623311529216608,0.6194303223995176,3015.9246623058434
6937,2016-08-20 13:30:00,England,Premier League,2016/2017,Stoke,Manchester City,Mike Dean,1,4,A,43,57,40,60,46,54,8,12,5,7,3,5,3,6,1,4,2,2,3,2,3,1,0,1,6.45,4.3,1.6,1.02,13.5,1.21,4.4,1.82,2.17,2.88,1.42,5.3,1.13,1.69,2.17,5,1,4,1,1.2,2.333333333333333,1.3333333333333333,2.6666666666666665,1.2040301840716805,2.3706698650922577,2.466666666666667,1.5333333333333334,2.5,1.5,1.2,2.466666666666667,2.333333333333333,1.5333333333333334,9.133333333333333,11.933333333333334,3.2666666666666666,5.466666666666667,47.4,55.13333333333333,0.375,0.5,0.3377777777777778,0.4107936507936507,0,3,1.0666666666666669,1.6,-0.5333333333333334,3.0,0.5,0.8207407407407407,1.4074074074074074,2.228148148148148,6,6,0,0,0,11,5,-6,1,3,0,1,1500.0,1508.1506753883134,-8.150675388313402,0.5810903573511486,3008.150675388313
6935,2016-08-20 16:00:00,England,Premier League,2016/2017,Watford,Chelsea,Jonathan Moss,1,2,A,38,62,40,60,36,64,6,13,3,2,3,11,2,4,1,1,1,3,2,6,2,1,0,5,6.05,3.94,1.69,1.02,11.0,1.28,3.68,2.06,1.91,3.44,1.31,6.5,1.09,1.9,1.9,3,1,2,1,1.6666666666666667,1.8666666666666667,1.6666666666666667,1.6666666666666667,1.4487645032595091,1.8853155264570287,1.8666666666666667,1.4,2.0,1.3333333333333333,1.6666666666666667,1.8666666666666667,1.8666666666666667,1.4,13.333333333333334,12.266666666666667,4.2,5.466666666666667,49.13333333333333,57.86666666666667,0.3333333333333333,0.3076923076923077,0.4188888888888888,0.3880952380952381,0,3,1.0,1.6666666666666667,-0.6666666666666667,2.0,0.5,1.131851851851852,1.2592592592592593,2.391111111111111,7,4,3,0,0,11,7,-4,1,3,0,1,1501.8493246116866,1508.1506753883134,-6.301350776626805,0.5836794883877312,3010.0
