"id","matchDate","Country","League","Season","homeTeam","awayTeam","HBPFT","ABPFT","HBP1H","ABP1H","HBP2H","ABP2H","HTSFT","ATSFT","HTS1H","ATS1H","HTS2H","ATS2H","HSONFT","ASONFT","HSON1H","ASON1H","HSON2H","ASON2H","HSOFFFT","ASOFFFT","HSOFF1H","ASOFF1H","HSOFF2H","ASOFF2H"
"6949","17-05-16 21:00","England","Premier League","2015/2016","Manchester Utd","Bournemouth","67","33","65","35","69","31","12","7","2","2","10","5","5","0","1","0","4","0","3","3","1","0","2","3"
"6950","15-05-16 16:00","England","Premier League","2015/2016","Arsenal","Aston Villa","60","40","58","42","63","37","16","5","6","3","10","2","7","2","2","1","5","1","7","0","2","0","5","0"
"6951","15-05-16 16:00","England","Premier League","2015/2016","Chelsea","Leicester","54","46","58","42","50","50","17","18","13","7","4","11","4","5","3","1","1","4","4","6","3","3","1","3"
"6952","15-05-16 16:00","England","Premier League","2015/2016","Everton","Norwich","46","54","46","54","46","54","15","10","10","7","5","3","8","2","6","1","2","1","4","6","2","4","2","2"
"6953","15-05-16 16:00","England","Premier League","2015/2016","Newcastle","Tottenham","37","63","42","58","32","68","19","17","10","6","9","11","10","5","4","2","6","3","3","6","1","2","2","4"
"6954","15-05-16 16:00","England","Premier League","2015/2016","Southampton","Crystal Palace","50","50","54","46","46","54","18","16","8","6","10","10","5","4","2","2","3","2","11","4","5","1","6","3"
"6955","15-05-16 16:00","England","Premier League","2015/2016","Stoke","West Ham","47","53","45","55","49","51","7","19","1","9","6","10","4","6","0","2","4","4","2","6","1","2","1","4"
"6956","15-05-16 16:00","England","Premier League","2015/2016","Swansea","Manchester City","50","50","55","45","45","55","4","18","3","13","1","5","1","5","1","5","0","0","2","10","1","6","1","4"
"6957","15-05-16 16:00","England","Premier League","2015/2016","Watford","Sunderland","54","46","51","49","57","43","21","6","11","4","10","2","6","4","3","2","3","2","11","1","5","1","6","0"
"6958","15-05-16 16:00","England","Premier League","2015/2016","West Brom","Liverpool","33","67","31","69","35","65","13","7","2","6","11","1","1","3","1","3","0","0","7","3","0","2","7","1"
"6959","11-05-16 21:00","England","Premier League","2015/2016","Liverpool","Chelsea","55","45","52","48","58","42","27","13","14","8","13","5","8","7","4","3","4","4","10","3","6","3","4","0"
"6960","11-05-16 20:45","England","Premier League","2015/2016","Norwich","Watford","56","44","59","41","53","47","18","11","11","3","7","8","6","7","5","3","1","4","6","2","3","0","3","2"
"6961","11-05-16 20:45","England","Premier League","2015/2016","Sunderland","Everton","38","62","44","56","32","68","13","17","8","2","5","15","7","6","4","0","3","6","3","5","1","2","2","3"
"6962","10-05-16 20:45","England","Premier League","2015/2016","West Ham","Manchester Utd","41","59","38","62","44","56","19","3","10","1","9","2","5","2","3","0","2","2","12","1","6","1","6","0"
"6963","08-05-16 17:00","England","Premier League","2015/2016","Liverpool","Watford","66","34","70","30","62","38","19","14","9","7","10","7","5","3","1","0","4","3","8","8","4","4","4","4"
"6964","08-05-16 17:00","England","Premier League","2015/2016","Manchester City","Arsenal","57","43","62","38","52","48","14","5","6","1","8","4","3","2","1","1","2","1","9","2","3","0","6","2"
"6965","08-05-16 14:30","England","Premier League","2015/2016","Tottenham","Southampton","71","29","69","31","73","27","20","10","11","4","9","6","6","2","5","1","1","1","9","5","4","2","5","3"
"6966","07-05-16 18:30","England","Premier League","2015/2016","Leicester","Everton","41","59","36","64","46","54","32","9","11","3","21","6","8","5","4","0","4","5","14","3","5","2","9","1"
"6967","07-05-16 16:00","England","Premier League","2015/2016","Aston Villa","Newcastle","46","54","54","46","38","62","2","9","1","2","1","7","0","3","0","1","0","2","2","5","1","1","1","4"
"6968","07-05-16 16:00","England","Premier League","2015/2016","Bournemouth","West Brom","69","31","71","29","67","33","12","12","4","6","8","6","4","4","1","3","3","1","6","6","3","2","3","4"
"6969","07-05-16 16:00","England","Premier League","2015/2016","Crystal Palace","Stoke","58","42","63","37","53","47","17","12","9","5","8","7","4","3","2","3","2","0","6","7","3","2","3","5"
"6970","07-05-16 16:00","England","Premier League","2015/2016","Sunderland","Chelsea","31","69","31","69","31","69","15","9","5","4","10","5","4","8","2","4","2","4","4","0","1","0","3","0"
"6971","07-05-16 16:00","England","Premier League","2015/2016","West Ham","Swansea","52","48","60","40","44","56","25","13","12","6","13","7","7","6","3","3","4","3","8","3","6","2","2","1"
"6972","07-05-16 13:45","England","Premier League","2015/2016","Norwich","Manchester Utd","33","67","38","62","27","73","8","15","3","8","5","7","2","2","1","1","1","1","3","6","0","1","3","5"
"6973","02-05-16 21:00","England","Premier League","2015/2016","Chelsea","Tottenham","48","52","47","53","49","51","13","16","6","10","7","6","5","5","1","2","4","3","5","5","4","4","1","1"
"6974","01-05-16 17:30","England","Premier League","2015/2016","Southampton","Manchester City","40","60","46","54","34","66","14","6","9","3","5","3","7","5","3","3","4","2","5","1","5","0","0","1"
"6975","01-05-16 15:05","England","Premier League","2015/2016","Manchester Utd","Leicester","70","30","72","28","68","32","21","14","11","5","10","9","6","3","3","1","3","2","7","7","2","3","5","4"
"6976","01-05-16 13:00","England","Premier League","2015/2016","Swansea","Liverpool","48","52","48","52","48","52","18","11","11","7","7","4","9","3","7","2","2","1","4","3","2","3","2","0"
"6977","30-04-16 18:30","England","Premier League","2015/2016","Arsenal","Norwich","69","31","69","31","69","31","14","12","7","7","7","5","3","3","0","3","3","0","6","6","3","4","3","2"
"6978","30-04-16 16:00","England","Premier League","2015/2016","Everton","Bournemouth","57","43","64","36","50","50","12","16","7","5","5","11","5","2","2","1","3","1","4","7","3","1","1","6"
"6979","30-04-16 16:00","England","Premier League","2015/2016","Newcastle","Crystal Palace","50","50","48","52","52","48","10","9","4","6","6","3","4","3","2","2","2","1","3","5","2","4","1","1"
"6980","30-04-16 16:00","England","Premier League","2015/2016","Stoke","Sunderland","53","47","58","42","47","53","11","14","5","8","6","6","3","5","1","3","2","2","6","5","2","3","4","2"
"6981","30-04-16 16:00","England","Premier League","2015/2016","Watford","Aston Villa","65","35","64","36","66","34","17","7","10","3","7","4","5","2","2","1","3","1","7","4","6","2","1","2"
"6982","30-04-16 16:00","England","Premier League","2015/2016","West Brom","West Ham","41","59","38","62","44","56","13","7","5","6","8","1","3","4","1","3","2","1","7","2","2","2","5","0"
"6983","25-04-16 21:00","England","Premier League","2015/2016","Tottenham","West Brom","66","34","72","28","60","40","19","16","12","6","7","10","2","3","2","0","0","3","9","8","4","2","5","6"
"6984","24-04-16 17:15","England","Premier League","2015/2016","Leicester","Swansea","38","62","38","62","38","62","18","9","5","4","13","5","9","1","4","0","5","1","6","4","0","2","6","2"
"6985","24-04-16 15:05","England","Premier League","2015/2016","Sunderland","Arsenal","30","70","25","75","36","64","12","19","6","11","6","8","3","6","0","4","3","2","6","5","3","3","3","2"
"6986","23-04-16 16:00","England","Premier League","2015/2016","Aston Villa","Southampton","42","58","46","54","38","62","15","17","10","9","5","8","6","7","3","2","3","5","7","6","5","4","2","2"
"6987","23-04-16 16:00","England","Premier League","2015/2016","Bournemouth","Chelsea","45","55","48","52","42","58","13","16","8","8","5","8","4","4","4","2","0","2","6","4","4","3","2","1"
"6988","23-04-16 16:00","England","Premier League","2015/2016","Liverpool","Newcastle","67","33","63","37","71","29","13","6","4","2","9","4","4","3","2","0","2","3","3","3","1","2","2","1"
"6989","23-04-16 13:45","England","Premier League","2015/2016","Manchester City","Stoke","53","47","61","39","45","55","11","14","5","6","6","8","6","2","2","1","4","1","3","11","2","5","1","6"
"6990","21-04-16 20:45","England","Premier League","2015/2016","Arsenal","West Brom","71","29","72","28","70","30","15","8","7","2","8","6","6","1","2","0","4","1","6","4","4","1","2","3"
"6991","20-04-16 21:00","England","Premier League","2015/2016","Liverpool","Everton","67","33","62","38","72","28","37","3","18","3","19","0","13","0","6","0","7","0","14","2","5","2","9","0"
"6992","20-04-16 21:00","England","Premier League","2015/2016","Manchester Utd","Crystal Palace","66","34","62","38","70","30","16","5","7","2","9","3","10","0","6","0","4","0","3","1","0","1","3","0"
"6993","20-04-16 20:45","England","Premier League","2015/2016","West Ham","Watford","46","54","44","56","49","51","18","7","10","3","8","4","7","4","4","2","3","2","6","2","4","0","2","2"
"6994","19-04-16 20:45","England","Premier League","2015/2016","Newcastle","Manchester City","43","57","45","55","41","59","5","9","3","2","2","7","3","5","2","1","1","4","2","3","1","1","1","2"
"6995","18-04-16 21:00","England","Premier League","2015/2016","Stoke","Tottenham","51","49","54","46","48","52","12","23","5","11","7","12","2","6","1","2","1","4","6","13","2","6","4","7"
"6996","17-04-16 17:00","England","Premier League","2015/2016","Arsenal","Crystal Palace","72","28","78","22","66","34","21","7","7","4","14","3","6","2","2","1","4","1","8","4","2","2","6","2"
"6997","17-04-16 14:30","England","Premier League","2015/2016","Bournemouth","Liverpool","51","49","53","47","49","51","17","19","6","11","11","8","4","6","1","5","3","1","5","9","2","3","3","6"
"6998","17-04-16 14:30","England","Premier League","2015/2016","Leicester","West Ham","43","57","49","51","37","63","6","19","3","6","3","13","2","4","1","1","1","3","4","12","2","4","2","8"
"6999","16-04-16 18:30","England","Premier League","2015/2016","Chelsea","Manchester City","52","48","52","48","52","48","11","11","6","5","5","6","4","7","1","5","3","2","3","2","2","0","1","2"
"7000","16-04-16 16:00","England","Premier League","2015/2016","Everton","Southampton","49","51","54","46","43","57","7","18","2","11","5","7","2","4","0","1","2","3","2","9","0","7","2","2"
"7001","16-04-16 16:00","England","Premier League","2015/2016","Manchester Utd","Aston Villa","66","34","66","34","66","34","13","7","7","3","6","4","4","1","2","0","2","1","7","4","3","2","4","2"
"7002","16-04-16 16:00","England","Premier League","2015/2016","Newcastle","Swansea","34","66","42","58","26","74","12","11","6","1","6","10","7","1","4","0","3","1","4","7","2","1","2","6"
"7003","16-04-16 16:00","England","Premier League","2015/2016","West Brom","Watford","57","43","53","47","61","39","16","11","8","5","8","6","4","4","1","2","3","2","8","4","4","2","4","2"
"7004","16-04-16 13:45","England","Premier League","2015/2016","Norwich","Sunderland","64","36","58","42","70","30","18","8","7","5","11","3","5","3","3","1","2","2","6","5","0","4","6","1"
"7005","13-04-16 21:00","England","Premier League","2015/2016","Crystal Palace","Everton","57","43","48","52","66","34","18","9","8","6","10","3","6","5","1","3","5","2","9","2","5","1","4","1"
"7006","10-04-16 17:00","England","Premier League","2015/2016","Liverpool","Stoke","53","47","53","47","53","47","14","10","5","7","9","3","6","3","3","2","3","1","4","6","1","5","3","1"
"7007","10-04-16 17:00","England","Premier League","2015/2016","Tottenham","Manchester Utd","47","53","40","60","54","46","16","5","4","2","12","3","8","1","0","0","8","1","7","1","3","0","4","1"
"7008","10-04-16 14:30","England","Premier League","2015/2016","Sunderland","Leicester","45","55","48","52","42","58","15","17","4","9","11","8","1","7","1","1","0","6","8","7","2","5","6","2"
"7009","09-04-16 18:30","England","Premier League","2015/2016","Manchester City","West Brom","62","38","63","37","61","39","13","13","6","6","7","7","4","2","1","1","3","1","4","6","2","2","2","4"
"7010","09-04-16 16:00","England","Premier League","2015/2016","Aston Villa","Bournemouth","41","59","42","58","40","60","6","12","3","7","3","5","1","3","0","2","1","1","5","6","3","3","2","3"
"7011","09-04-16 16:00","England","Premier League","2015/2016","Crystal Palace","Norwich","53","47","56","44","50","50","12","13","3","5","9","8","5","4","1","0","4","4","5","6","1","3","4","3"
"7012","09-04-16 16:00","England","Premier League","2015/2016","Southampton","Newcastle","51","49","55","45","47","53","20","5","11","1","9","4","6","3","4","0","2","3","9","1","5","0","4","1"
"7013","09-04-16 16:00","England","Premier League","2015/2016","Swansea","Chelsea","39","61","45","55","33","67","12","8","5","4","7","4","6","2","4","1","2","1","3","3","1","2","2","1"
"7014","09-04-16 16:00","England","Premier League","2015/2016","Watford","Everton","42","58","41","59","43","57","13","12","8","4","5","8","5","7","3","3","2","4","5","3","3","1","2","2"
"7015","09-04-16 13:45","England","Premier League","2015/2016","West Ham","Arsenal","39","61","43","57","35","65","19","10","9","6","10","4","7","5","4","4","3","1","7","3","3","1","4","2"
"7016","03-04-16 17:00","England","Premier League","2015/2016","Manchester Utd","Everton","54","46","53","47","55","45","10","7","7","1","3","6","2","1","0","0","2","1","3","1","3","0","0","1"
"7017","03-04-16 14:30","England","Premier League","2015/2016","Leicester","Southampton","46","54","52","48","40","60","11","9","5","4","6","5","4","1","1","1","3","0","2","5","1","2","1","3"
"7018","02-04-16 18:30","England","Premier League","2015/2016","Liverpool","Tottenham","42","58","47","53","37","63","15","18","7","6","8","12","7","5","4","2","3","3","2","7","0","1","2","6"
