"id","matchDate","Country","League","Season","homeTeam","awayTeam","HBPFT","ABPFT","HBP1H","ABP1H","HBP2H","ABP2H","HTSFT","ATSFT","HTS1H","ATS1H","HTS2H","ATS2H","HSONFT","ASONFT","HSON1H","ASON1H","HSON2H","ASON2H","HSOFFFT","ASOFFFT","HSOFF1H","ASOFF1H","HSOFF2H","ASOFF2H"
"7019","02-04-16 16:00","England","Premier League","2015/2016","Arsenal","Watford","69","31","70","30","68","32","19","6","11","1","8","5","12","2","6","1","6","1","4","2","2","0","2","2"
"7020","02-04-16 16:00","England","Premier League","2015/2016","Bournemouth","Manchester City","46","54","45","55","47","53","11","15","6","11","5","4","2","7","1","4","1","3","5","8","3","7","2","1"
"7021","02-04-16 16:00","England","Premier League","2015/2016","Norwich","Newcastle","41","59","44","56","38","62","13","13","5","2","8","11","6","5","4","0","2","5","5","7","1","2","4","5"
"7022","02-04-16 16:00","England","Premier League","2015/2016","Stoke","Swansea","47","53","50","50","44","56","12","12","6","6","6","6","5","3","2","1","3","2","5","5","2","4","3","1"
"7023","02-04-16 16:00","England","Premier League","2015/2016","Sunderland","West Brom","56","44","48","52","66","34","22","3","7","2","15","1","7","0","3","0","4","0","8","2","2","2","6","0"
"7024","02-04-16 16:00","England","Premier League","2015/2016","West Ham","Crystal Palace","67","33","73","27","61","39","18","11","10","4","8","7","6","4","5","2","1","2","6","4","3","2","3","2"
"7025","02-04-16 13:45","England","Premier League","2015/2016","Aston Villa","Chelsea","42","58","43","57","41","59","15","11","10","5","5","6","4","8","3","3","1","5","6","3","4","2","2","1"
"7026","20-03-16 17:00","England","Premier League","2015/2016","Manchester City","Manchester Utd","54","46","49","51","59","41","26","5","9","2","17","3","3","4","2","2","1","2","16","0","6","0","10","0"
"7027","20-03-16 17:00","England","Premier League","2015/2016","Tottenham","Bournemouth","63","37","68","32","58","42","16","2","8","1","8","1","7","0","4","0","3","0","8","2","3","1","5","1"
"7028","20-03-16 14:30","England","Premier League","2015/2016","Newcastle","Sunderland","60","40","57","43","64","36","16","14","6","10","10","4","7","4","1","3","6","1","7","7","5","6","2","1"
"7029","20-03-16 14:30","England","Premier League","2015/2016","Southampton","Liverpool","49","51","47","53","51","49","16","18","6","12","10","6","5","9","0","6","5","3","6","3","4","1","2","2"
"7030","19-03-16 18:30","England","Premier League","2015/2016","Swansea","Aston Villa","54","46","49","51","59","41","10","12","6","9","4","3","1","2","0","1","1","1","6","4","4","4","2","0"
"7031","19-03-16 16:00","England","Premier League","2015/2016","Chelsea","West Ham","59","41","57","43","61","39","22","12","7","6","15","6","5","5","3","2","2","3","11","3","3","2","8","1"
"7032","19-03-16 16:00","England","Premier League","2015/2016","Crystal Palace","Leicester","56","44","50","50","62","38","12","8","6","3","6","5","4","3","2","3","2","0","6","3","2","0","4","3"
"7033","19-03-16 16:00","England","Premier League","2015/2016","Watford","Stoke","52","48","43","57","61","39","9","9","4","4","5","5","4","6","1","2","3","4","4","2","2","1","2","1"
"7034","19-03-16 16:00","England","Premier League","2015/2016","West Brom","Norwich","50","50","53","47","46","54","10","7","8","5","2","2","0","1","0","0","0","1","6","4","5","3","1","1"
"7035","19-03-16 13:45","England","Premier League","2015/2016","Everton","Arsenal","54","46","45","55","63","37","8","11","5","7","3","4","2","3","1","3","1","0","5","4","3","2","2","2"
"7036","14-03-16 21:00","England","Premier League","2015/2016","Leicester","Newcastle","50","50","58","42","42","58","10","13","5","7","5","6","1","2","1","1","0","1","3","6","2","4","1","2"
"7037","13-03-16 17:00","England","Premier League","2015/2016","Aston Villa","Tottenham","38","62","42","58","34","66","11","19","3","12","8","7","2","8","1","6","1","2","5","6","1","4","4","2"
"7038","12-03-16 16:00","England","Premier League","2015/2016","Bournemouth","Swansea","44","56","42","58","46","54","12","12","6","6","6","6","4","4","1","1","3","3","6","6","5","5","1","1"
"7039","12-03-16 16:00","England","Premier League","2015/2016","Stoke","Southampton","61","39","62","38","60","40","13","11","6","5","7","6","2","4","0","4","2","0","7","5","5","1","2","4"
"7040","12-03-16 13:45","England","Premier League","2015/2016","Norwich","Manchester City","34","66","39","61","28","72","5","15","4","8","1","7","0","3","0","3","0","0","4","5","3","2","1","3"
"7041","06-03-16 17:00","England","Premier League","2015/2016","West Brom","Manchester Utd","47","53","42","58","52","48","9","7","6","2","3","5","2","1","1","1","1","0","3","2","2","0","1","2"
"7042","06-03-16 14:30","England","Premier League","2015/2016","Crystal Palace","Liverpool","38","62","37","63","39","61","14","19","8","5","6","14","4","5","3","0","1","5","6","6","5","2","1","4"
"7043","05-03-16 18:30","England","Premier League","2015/2016","Watford","Leicester","50","50","56","44","43","57","11","13","5","5","6","8","4","6","1","3","3","3","4","7","2","2","2","5"
"7044","05-03-16 16:00","England","Premier League","2015/2016","Chelsea","Stoke","48","52","52","48","44","56","20","16","11","6","9","10","7","5","3","1","4","4","8","7","4","4","4","3"
"7045","05-03-16 16:00","England","Premier League","2015/2016","Everton","West Ham","42","58","46","54","38","62","15","17","8","9","7","8","8","5","4","2","4","3","2","7","1","5","1","2"
"7046","05-03-16 16:00","England","Premier League","2015/2016","Manchester City","Aston Villa","71","29","78","22","64","36","22","2","13","1","9","1","9","1","4","1","5","0","10","0","7","0","3","0"
"7047","05-03-16 16:00","England","Premier League","2015/2016","Newcastle","Bournemouth","49","51","45","55","53","47","14","16","7","6","7","10","3","5","0","1","3","4","5","4","4","2","1","2"
"7048","05-03-16 16:00","England","Premier League","2015/2016","Southampton","Sunderland","65","35","59","41","71","29","16","11","6","3","10","8","5","3","3","0","2","3","3","4","2","2","1","2"
"7049","05-03-16 16:00","England","Premier League","2015/2016","Swansea","Norwich","56","44","58","42","54","46","10","8","3","2","7","6","3","3","0","2","3","1","5","3","3","0","2","3"
"7050","05-03-16 13:45","England","Premier League","2015/2016","Tottenham","Arsenal","52","48","54","46","50","50","26","10","10","4","16","6","11","4","4","2","7","2","7","2","1","1","6","1"
"7051","02-03-16 21:00","England","Premier League","2015/2016","Liverpool","Manchester City","50","50","54","46","46","54","11","3","4","2","7","1","7","1","3","0","4","1","3","2","0","2","3","0"
"7052","02-03-16 21:00","England","Premier League","2015/2016","Manchester Utd","Watford","61","39","64","36","58","42","14","13","6","8","8","5","3","3","1","3","2","0","6","6","5","3","1","3"
"7053","02-03-16 20:45","England","Premier League","2015/2016","Arsenal","Swansea","63","37","62","38","64","36","18","11","11","5","7","6","4","2","2","1","2","1","8","5","5","2","3","3"
"7054","02-03-16 20:45","England","Premier League","2015/2016","Stoke","Newcastle","55","45","64","36","46","54","9","5","2","3","7","2","2","3","1","2","1","1","5","1","1","0","4","1"
"7055","02-03-16 20:45","England","Premier League","2015/2016","West Ham","Tottenham","35","65","37","63","33","67","14","9","8","0","6","9","3","2","3","0","0","2","6","6","2","0","4","6"
"7056","01-03-16 20:45","England","Premier League","2015/2016","Aston Villa","Everton","46","54","40","60","52","48","14","9","6","3","8","6","5","6","3","3","2","3","4","1","1","0","3","1"
"7057","01-03-16 20:45","England","Premier League","2015/2016","Bournemouth","Southampton","45","55","50","50","40","60","9","6","6","4","3","2","4","1","2","0","2","1","2","3","1","2","1","1"
"7058","01-03-16 20:45","England","Premier League","2015/2016","Leicester","West Brom","65","35","59","41","71","29","22","11","12","3","10","8","5","3","3","1","2","2","11","6","6","0","5","6"
"7059","01-03-16 20:45","England","Premier League","2015/2016","Norwich","Chelsea","47","53","43","57","51","49","13","10","2","6","11","4","2","2","0","2","2","0","7","4","1","1","6","3"
"7060","01-03-16 20:45","England","Premier League","2015/2016","Sunderland","Crystal Palace","58","42","61","39","55","45","17","13","10","5","7","8","6","5","5","2","1","3","7","4","2","2","5","2"
"7061","28-02-16 15:05","England","Premier League","2015/2016","Manchester Utd","Arsenal","39","61","45","55","32","68","7","13","4","8","3","5","5","5","3","2","2","3","1","5","1","4","0","1"
"7062","28-02-16 15:05","England","Premier League","2015/2016","Tottenham","Swansea","57","43","59","41","55","45","34","10","11","5","23","5","14","4","5","2","9","2","14","2","5","1","9","1"
"7063","27-02-16 18:30","England","Premier League","2015/2016","West Brom","Crystal Palace","46","54","44","56","48","52","11","15","8","5","3","10","5","2","4","0","1","2","5","8","3","3","2","5"
"7064","27-02-16 16:00","England","Premier League","2015/2016","Leicester","Norwich","59","41","62","38","56","44","13","9","8","5","5","4","3","1","0","1","3","0","5","5","3","3","2","2"
"7065","27-02-16 16:00","England","Premier League","2015/2016","Southampton","Chelsea","34","66","36","64","32","68","7","16","5","5","2","11","2","4","1","1","1","3","3","9","2","3","1","6"
"7066","27-02-16 16:00","England","Premier League","2015/2016","Stoke","Aston Villa","55","45","52","48","58","42","11","5","4","3","7","2","3","1","0","0","3","1","6","4","3","3","3","1"
"7067","27-02-16 16:00","England","Premier League","2015/2016","Watford","Bournemouth","47","53","48","52","46","54","14","11","5","2","9","9","1","3","1","0","0","3","9","4","2","1","7","3"
"7068","27-02-16 13:45","England","Premier League","2015/2016","West Ham","Sunderland","53","47","62","38","44","56","9","13","5","3","4","10","3","4","3","0","0","4","6","6","2","2","4","4"
"7069","14-02-16 17:15","England","Premier League","2015/2016","Manchester City","Tottenham","46","54","35","65","57","43","19","6","5","3","14","3","4","3","1","1","3","2","7","2","1","1","6","1"
"7070","14-02-16 15:05","England","Premier League","2015/2016","Aston Villa","Liverpool","39","61","38","62","40","60","6","11","1","6","5","5","1","9","0","4","1","5","4","1","1","1","3","0"
"7071","14-02-16 13:00","England","Premier League","2015/2016","Arsenal","Leicester","72","28","67","33","77","23","24","7","4","5","20","2","6","3","0","3","6","0","12","4","2","2","10","2"
"7072","13-02-16 18:30","England","Premier League","2015/2016","Chelsea","Newcastle","55","45","46","54","64","36","14","10","9","5","5","5","7","3","5","2","2","1","3","2","2","1","1","1"
"7073","13-02-16 16:00","England","Premier League","2015/2016","Bournemouth","Stoke","65","35","62","38","68","32","11","11","2","6","9","5","2","6","0","3","2","3","4","4","0","2","4","2"
"7074","13-02-16 16:00","England","Premier League","2015/2016","Crystal Palace","Watford","54","46","46","54","62","38","15","10","6","4","9","6","5","4","2","2","3","2","7","2","2","2","5","0"
"7075","13-02-16 16:00","England","Premier League","2015/2016","Everton","West Brom","76","24","74","26","78","22","33","5","16","4","17","1","5","1","1","1","4","0","13","3","6","2","7","1"
"7076","13-02-16 16:00","England","Premier League","2015/2016","Norwich","West Ham","48","52","52","48","44","56","13","11","5","4","8","7","3","6","0","1","3","5","7","5","5","3","2","2"
"7077","13-02-16 16:00","England","Premier League","2015/2016","Swansea","Southampton","55","45","54","46","56","44","13","13","5","8","8","5","2","5","1","2","1","3","8","3","3","2","5","1"
"7078","13-02-16 13:45","England","Premier League","2015/2016","Sunderland","Manchester Utd","34","66","31","69","37","63","20","12","8","5","12","7","4","6","1","3","3","3","10","1","4","0","6","1"
"7079","07-02-16 17:00","England","Premier League","2015/2016","Chelsea","Manchester Utd","49","51","40","60","58","42","16","17","6","8","10","9","5","7","1","3","4","4","6","6","3","2","3","4"
"7080","07-02-16 14:30","England","Premier League","2015/2016","Bournemouth","Arsenal","51","49","44","56","58","42","17","10","6","6","11","4","4","5","1","2","3","3","7","2","1","1","6","1"
"7081","06-02-16 18:30","England","Premier League","2015/2016","Southampton","West Ham","34","66","49","51","19","81","8","18","5","7","3","11","2","2","2","1","0","1","3","6","1","1","2","5"
"7082","06-02-16 16:00","England","Premier League","2015/2016","Aston Villa","Norwich","49","51","58","42","40","60","10","11","5","4","5","7","3","3","1","2","2","1","4","4","2","2","2","2"
"7083","06-02-16 16:00","England","Premier League","2015/2016","Liverpool","Sunderland","72","28","82","18","62","38","16","7","6","2","10","5","5","2","1","0","4","2","7","4","3","2","4","2"
"7084","06-02-16 16:00","England","Premier League","2015/2016","Newcastle","West Brom","69","31","78","22","60","40","19","7","8","3","11","4","7","0","4","0","3","0","5","3","0","0","5","3"
"7085","06-02-16 16:00","England","Premier League","2015/2016","Stoke","Everton","66","34","69","31","63","37","11","14","4","4","7","10","3","6","1","3","2","3","5","3","3","0","2","3"
"7086","06-02-16 16:00","England","Premier League","2015/2016","Swansea","Crystal Palace","58","42","60","40","56","44","19","12","5","6","14","6","3","2","1","0","2","2","9","6","2","4","7","2"
"7087","06-02-16 16:00","England","Premier League","2015/2016","Tottenham","Watford","66","34","67","33","65","35","26","3","12","1","14","2","9","0","3","0","6","0","8","2","5","1","3","1"
"7088","06-02-16 13:45","England","Premier League","2015/2016","Manchester City","Leicester","66","34","73","27","59","41","22","14","9","6","13","8","4","7","1","3","3","4","12","5","5","2","7","3"
"7089","03-02-16 20:45","England","Premier League","2015/2016","Everton","Newcastle","56","44","62","38","50","50","18","7","7","2","11","5","7","3","2","0","5","3","8","2","4","1","4","1"
"7090","03-02-16 20:45","England","Premier League","2015/2016","Watford","Chelsea","45","55","45","55","45","55","12","12","10","4","2","8","3","4","3","0","0","4","2","3","0","1","2","2"
"7091","02-02-16 21:00","England","Premier League","2015/2016","Crystal Palace","Bournemouth","50","50","51","49","49","51","14","8","5","4","9","4","3","4","1","1","2","3","6","2","4","1","2","1"
"7092","02-02-16 21:00","England","Premier League","2015/2016","Manchester Utd","Stoke","47","53","47","53","47","53","15","10","12","6","3","4","5","0","4","0","1","0","5","7","3","3","2","4"
"7093","02-02-16 21:00","England","Premier League","2015/2016","West Brom","Swansea","45","55","45","55","45","55","16","18","6","6","10","12","6","4","2","2","4","2","7","8","4","2","3","6"
"7094","02-02-16 20:45","England","Premier League","2015/2016","Arsenal","Southampton","67","33","64","36","70","30","20","14","3","5","17","9","10","3","2","2","8","1","6","4","0","3","6","1"
"7095","02-02-16 20:45","England","Premier League","2015/2016","Leicester","Liverpool","36","64","42","58","28","72","13","14","8","7","5","7","6","2","4","1","2","1","4","5","3","2","1","3"
"7096","02-02-16 20:45","England","Premier League","2015/2016","Norwich","Tottenham","46","54","37","63","55","45","10","17","4","14","6","3","2","6","1","5","1","1","6","8","3","6","3","2"
"7097","02-02-16 20:45","England","Premier League","2015/2016","Sunderland","Manchester City","49","51","41","59","57","43","11","6","4","5","7","1","2","2","1","1","1","1","5","3","2","3","3","0"
"7098","02-02-16 20:45","England","Premier League","2015/2016","West Ham","Aston Villa","68","32","63","37","73","27","25","6","11","2","14","4","6","2","1","1","5","1","17","2","10","1","7","1"
"7099","24-01-16 17:00","England","Premier League","2015/2016","Arsenal","Chelsea","47","53","48","52","46","54","9","11","5","7","4","4","1","5","0","4","1","1","7","3","5","2","2","1"
"7100","24-01-16 14:30","England","Premier League","2015/2016","Everton","Swansea","60","40","51","49","69","31","20","7","8","4","12","3","2","5","1","2","1","3","11","1","4","1","7","0"
"7101","23-01-16 18:30","England","Premier League","2015/2016","West Ham","Manchester City","46","54","47","53","45","55","10","16","3","3","7","13","3","3","2","1","1","2","5","3","1","1","4","2"
"7102","23-01-16 16:00","England","Premier League","2015/2016","Crystal Palace","Tottenham","36","64","31","69","41","59","11","24","5","9","6","15","3","11","0","4","3","7","3","6","2","3","1","3"
"7103","23-01-16 16:00","England","Premier League","2015/2016","Leicester","Stoke","45","55","47","53","43","57","15","3","7","0","8","3","5","2","3","0","2","2","7","0","3","0","4","0"
