"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"6949","17-05-16 21:00","England","Premier League","2015/2016","Manchester Utd","Bournemouth","1.50","4.76","7.40","1.01","16.00","1.17","4.90","1.66","2.44","2.68","1.46","4.54","1.16","1.70","2.15"
"6950","15-05-16 16:00","England","Premier League","2015/2016","Arsenal","Aston Villa","1.13","12.00","24.00","1.01","26.00","1.08","7.90","1.26","3.78","1.77","2.20","2.75","1.45","2.09","1.74"
"6951","15-05-16 16:00","England","Premier League","2015/2016","Chelsea","Leicester","2.05","4.06","3.60","1.01","20.00","1.14","5.70","1.54","2.70","2.21","1.65","3.60","1.29","1.44","2.79"
"6952","15-05-16 16:00","England","Premier League","2015/2016","Everton","Norwich","1.74","4.24","4.86","1.01","16.00","1.14","5.50","1.58","2.58","2.31","1.60","4.50","1.20","1.51","2.56"
"6953","15-05-16 16:00","England","Premier League","2015/2016","Newcastle","Tottenham","4.90","4.28","1.73","1.01","15.00","1.19","4.60","1.73","2.26","2.68","1.46","4.70","1.19","1.65","2.24"
"6954","15-05-16 16:00","England","Premier League","2015/2016","Southampton","Crystal Palace","1.30","6.90","10.00","1.01","15.00","1.19","4.70","1.50","2.85","2.38","1.65","4.60","1.20","1.99","1.82"
"6955","15-05-16 16:00","England","Premier League","2015/2016","Stoke","West Ham","3.01","4.02","2.30","1.01","17.00","1.17","5.00","1.58","2.58","2.28","1.60","4.20","1.23","1.44","2.75"
"6956","15-05-16 16:00","England","Premier League","2015/2016","Swansea","Manchester City","7.30","5.15","1.46","1.01","16.00","1.19","4.70","1.46","2.64","2.38","1.67","4.50","1.20","1.59","2.33"
"6957","15-05-16 16:00","England","Premier League","2015/2016","Watford","Sunderland","1.65","4.42","5.55","1.02","14.00","1.22","4.30","1.60","2.54","2.32","1.58","5.10","1.17","1.54","2.44"
"6958","15-05-16 16:00","England","Premier League","2015/2016","West Brom","Liverpool","2.69","3.68","2.69","1.02","14.00","1.23","4.20","1.72","2.28","2.68","1.46","5.30","1.16","1.49","2.63"
"6959","11-05-16 21:00","England","Premier League","2015/2016","Liverpool","Chelsea","1.70","4.58","4.78","1.02","15.00","1.15","4.74","1.52","2.77","2.27","1.62","4.32","1.20","1.51","2.56"
"6960","11-05-16 20:45","England","Premier League","2015/2016","Norwich","Watford","1.89","4.10","4.20","1.05","12.00","1.22","4.20","1.81","2.14","2.86","1.41","5.10","1.13","1.68","2.19"
"6961","11-05-16 20:45","England","Premier League","2015/2016","Sunderland","Everton","1.85","4.16","4.24","1.04","13.00","1.23","4.10","1.70","2.29","2.64","1.46","5.25","1.16","1.58","2.35"
"6962","10-05-16 20:45","England","Premier League","2015/2016","West Ham","Manchester Utd","3.13","3.72","2.35","1.03","12.00","1.22","4.24","1.84","2.14","2.91","1.41","5.30","1.13","1.60","2.34"
"6963","08-05-16 17:00","England","Premier League","2015/2016","Liverpool","Watford","1.57","4.46","6.65","1.01","17.00","1.16","5.20","1.59","2.56","2.35","1.58","4.10","1.24","1.63","2.10"
"6964","08-05-16 17:00","England","Premier League","2015/2016","Manchester City","Arsenal","2.28","3.68","3.30","1.02","14.50","1.19","4.70","1.74","2.30","2.65","1.48","4.70","1.16","1.53","2.50"
"6965","08-05-16 14:30","England","Premier League","2015/2016","Tottenham","Southampton","2.25","3.44","3.60","1.03","12.50","1.26","3.78","1.98","1.94","3.24","1.33","6.00","1.10","1.70","2.15"
"6966","07-05-16 18:30","England","Premier League","2015/2016","Leicester","Everton","1.92","3.88","4.22","1.01","16.00","1.19","4.70","1.59","2.56","2.32","1.58","4.50","1.20","1.48","2.61"
"6967","07-05-16 16:00","England","Premier League","2015/2016","Aston Villa","Newcastle","5.40","4.30","1.67","1.03","12.50","1.18","4.60","1.85","2.08","3.04","1.36","6.00","1.13","1.77","2.03"
"6968","07-05-16 16:00","England","Premier League","2015/2016","Bournemouth","West Brom","1.94","3.68","4.36","1.04","11.50","1.23","4.10","1.89","2.04","3.04","1.37","5.50","1.11","1.75","2.08"
"6969","07-05-16 16:00","England","Premier League","2015/2016","Crystal Palace","Stoke","2.05","3.54","4.08","1.03","8.70","1.29","3.52","2.08","1.85","3.52","1.29","6.40","1.08","1.73","2.11"
"6970","07-05-16 16:00","England","Premier League","2015/2016","Sunderland","Chelsea","3.24","3.70","2.28","1.03","12.50","1.17","5.00","1.75","2.23","2.78","1.43","5.80","1.13","1.58","2.38"
"6971","07-05-16 16:00","England","Premier League","2015/2016","West Ham","Swansea","1.34","6.05","9.60","1.01","16.00","1.14","5.50","1.58","2.58","2.35","1.58","4.04","1.20","1.87","1.93"
"6972","07-05-16 13:45","England","Premier League","2015/2016","Norwich","Manchester Utd","4.02","3.68","2.04","1.03","9.10","1.29","3.60","2.07","1.90","3.44","1.31","6.50","1.09","1.80","2.01"
"6973","02-05-16 21:00","England","Premier League","2015/2016","Chelsea","Tottenham","2.62","3.58","2.85","1.04","13.00","1.19","4.70","1.71","2.32","2.65","1.48","4.70","1.16","1.49","2.63"
"6974","01-05-16 17:30","England","Premier League","2015/2016","Southampton","Manchester City","2.46","3.52","3.10","1.02","10.50","1.29","3.64","2.02","1.94","3.38","1.32","6.20","1.10","1.74","2.09"
"6975","01-05-16 15:05","England","Premier League","2015/2016","Manchester Utd","Leicester","2.04","3.68","4.02","1.05","8.10","1.36","3.15","2.26","1.76","3.94","1.25","7.60","1.06","1.95","1.85"
"6976","01-05-16 13:00","England","Premier League","2015/2016","Swansea","Liverpool","3.58","3.64","2.16","1.01","11.50","1.27","3.68","1.99","1.95","3.26","1.33","6.00","1.10","1.70","2.15"
"6977","30-04-16 18:30","England","Premier League","2015/2016","Arsenal","Norwich","1.25","7.10","14.00","1.03","17.00","1.13","6.10","1.53","2.82","2.22","1.66","3.80","1.23","1.98","1.83"
"6978","30-04-16 16:00","England","Premier League","2015/2016","Everton","Bournemouth","2.42","3.80","2.97","1.01","19.00","1.16","5.30","1.63","2.54","2.38","1.58","4.14","1.20","1.45","2.75"
"6979","30-04-16 16:00","England","Premier League","2015/2016","Newcastle","Crystal Palace","2.10","3.70","3.74","1.03","9.80","1.26","3.86","1.96","2.00","3.20","1.35","6.00","1.10","1.72","2.12"
"6980","30-04-16 16:00","England","Premier League","2015/2016","Stoke","Sunderland","2.87","3.54","2.60","1.03","9.00","1.29","3.56","2.04","1.89","3.38","1.31","6.30","1.09","1.74","2.09"
"6981","30-04-16 16:00","England","Premier League","2015/2016","Watford","Aston Villa","1.75","3.86","5.50","1.03","9.40","1.26","3.78","1.97","1.95","3.24","1.33","6.00","1.10","1.80","2.01"
"6982","30-04-16 16:00","England","Premier League","2015/2016","West Brom","West Ham","3.98","3.66","2.03","1.05","8.00","1.28","3.60","2.01","1.91","3.32","1.32","6.10","1.09","1.76","2.06"
"6983","25-04-16 21:00","England","Premier League","2015/2016","Tottenham","West Brom","1.25","7.43","12.20","1.03","17.00","1.15","5.30","1.58","2.61","2.38","1.57","4.05","1.20","2.25","1.64"
"6984","24-04-16 17:15","England","Premier League","2015/2016","Leicester","Swansea","1.71","3.84","6.07","1.05","7.80","1.35","3.15","2.28","1.72","4.10","1.23","7.80","1.05","2.05","1.71"
"6985","24-04-16 15:05","England","Premier League","2015/2016","Sunderland","Arsenal","5.57","4.42","1.67","1.04","13.00","1.19","4.70","1.74","2.30","2.68","1.47","4.80","1.15","1.70","2.15"
"6986","23-04-16 16:00","England","Premier League","2015/2016","Aston Villa","Southampton","7.18","4.34","1.55","1.02","9.70","1.25","3.86","2.02","1.94","3.26","1.33","6.10","1.09","2.00","1.81"
"6987","23-04-16 16:00","England","Premier League","2015/2016","Bournemouth","Chelsea","3.62","3.68","2.15","1.04","13.00","1.20","4.55","1.79","2.22","2.75","1.45","5.00","1.14","1.57","2.40"
"6988","23-04-16 16:00","England","Premier League","2015/2016","Liverpool","Newcastle","1.53","4.85","6.84","1.03","17.00","1.17","5.10","1.66","2.46","2.50","1.53","4.40","1.18","1.70","2.15"
"6989","23-04-16 13:45","England","Premier League","2015/2016","Manchester City","Stoke","1.30","6.48","10.90","1.03","15.00","1.15","5.30","1.60","2.61","2.38","1.57","4.05","1.20","1.95","1.85"
"6990","21-04-16 20:45","England","Premier League","2015/2016","Arsenal","West Brom","1.26","6.81","13.70","1.04","13.00","1.15","5.50","1.61","2.58","2.43","1.56","4.25","1.19","2.09","1.74"
"6991","20-04-16 21:00","England","Premier League","2015/2016","Liverpool","Everton","1.70","4.30","5.30","1.04","13.00","1.20","4.55","1.77","2.25","2.75","1.45","5.00","1.14","1.67","2.20"
"6992","20-04-16 21:00","England","Premier League","2015/2016","Manchester Utd","Crystal Palace","1.44","4.80","9.10","1.03","9.80","1.25","3.95","1.96","2.00","3.26","1.34","6.20","1.10","2.09","1.74"
"6993","20-04-16 20:45","England","Premier League","2015/2016","West Ham","Watford","1.47","4.84","8.10","1.05","12.00","1.20","4.55","1.79","2.22","2.83","1.43","5.10","1.14","1.87","1.93"
