"id","matchDate","Country","League","Season","homeTeam","awayTeam","referee","FTHG","FTAG","FTR"
"7008","10-04-16 14:30","England","Premier League","2015/2016","Sunderland","Leicester","Anthony Taylor","0","2","A"
"7009","09-04-16 18:30","England","Premier League","2015/2016","Manchester City","West Brom","Mike Jones","2","1","H"
"7010","09-04-16 16:00","England","Premier League","2015/2016","Aston Villa","Bournemouth","Martin Atkinson","1","2","A"
"7011","09-04-16 16:00","England","Premier League","2015/2016","Crystal Palace","Norwich","Michael Oliver","1","0","H"
"7012","09-04-16 16:00","England","Premier League","2015/2016","Southampton","Newcastle","Robert Madley","3","1","H"
"7013","09-04-16 16:00","England","Premier League","2015/2016","Swansea","Chelsea","Andre Marriner","1","0","H"
"7014","09-04-16 16:00","England","Premier League","2015/2016","Watford","Everton","Kevin Friend","1","1","D"
"7015","09-04-16 13:45","England","Premier League","2015/2016","West Ham","Arsenal","Craig Pawson","3","3","D"
"7016","03-04-16 17:00","England","Premier League","2015/2016","Manchester Utd","Everton","Andre Marriner","1","0","H"
"7017","03-04-16 14:30","England","Premier League","2015/2016","Leicester","Southampton","Michael Oliver","1","0","H"
"7018","02-04-16 18:30","England","Premier League","2015/2016","Liverpool","Tottenham","Jonathan Moss","1","1","D"
"7019","02-04-16 16:00","England","Premier League","2015/2016","Arsenal","Watford","Anthony Taylor","4","0","H"
"7020","02-04-16 16:00","England","Premier League","2015/2016","Bournemouth","Manchester City","Robert Madley","0","4","A"
"7021","02-04-16 16:00","England","Premier League","2015/2016","Norwich","Newcastle","Mike Dean","3","2","H"
"7022","02-04-16 16:00","England","Premier League","2015/2016","Stoke","Swansea","Martin Atkinson","2","2","D"
"7023","02-04-16 16:00","England","Premier League","2015/2016","Sunderland","West Brom","Roger East","0","0","D"
"7024","02-04-16 16:00","England","Premier League","2015/2016","West Ham","Crystal Palace","Mark Clattenburg","2","2","D"
"7025","02-04-16 13:45","England","Premier League","2015/2016","Aston Villa","Chelsea","Neil Swarbrick","0","4","A"
"7026","20-03-16 17:00","England","Premier League","2015/2016","Manchester City","Manchester Utd","Michael Oliver","0","1","A"
"7027","20-03-16 17:00","England","Premier League","2015/2016","Tottenham","Bournemouth","Neil Swarbrick","3","0","H"
"7028","20-03-16 14:30","England","Premier League","2015/2016","Newcastle","Sunderland","Martin Atkinson","1","1","D"
"7029","20-03-16 14:30","England","Premier League","2015/2016","Southampton","Liverpool","Roger East","3","2","H"
"7030","19-03-16 18:30","England","Premier League","2015/2016","Swansea","Aston Villa","Mike Dean","1","0","H"
"7031","19-03-16 16:00","England","Premier League","2015/2016","Chelsea","West Ham","Robert Madley","2","2","D"
"7032","19-03-16 16:00","England","Premier League","2015/2016","Crystal Palace","Leicester","Mike Jones","0","1","A"
"7033","19-03-16 16:00","England","Premier League","2015/2016","Watford","Stoke","Craig Pawson","1","2","A"
"7034","19-03-16 16:00","England","Premier League","2015/2016","West Brom","Norwich","Anthony Taylor","0","1","A"
"7035","19-03-16 13:45","England","Premier League","2015/2016","Everton","Arsenal","Mark Clattenburg","0","2","A"
"7036","14-03-16 21:00","England","Premier League","2015/2016","Leicester","Newcastle","Craig Pawson","1","0","H"
"7037","13-03-16 17:00","England","Premier League","2015/2016","Aston Villa","Tottenham","Anthony Taylor","0","2","A"
"7038","12-03-16 16:00","England","Premier League","2015/2016","Bournemouth","Swansea","Roger East","3","2","H"
"7039","12-03-16 16:00","England","Premier League","2015/2016","Stoke","Southampton","Lee Mason","1","2","A"
"7040","12-03-16 13:45","England","Premier League","2015/2016","Norwich","Manchester City","Jonathan Moss","0","0","D"
"7041","06-03-16 17:00","England","Premier League","2015/2016","West Brom","Manchester Utd","Mike Dean","1","0","H"
"7042","06-03-16 14:30","England","Premier League","2015/2016","Crystal Palace","Liverpool","Andre Marriner","1","2","A"
"7043","05-03-16 18:30","England","Premier League","2015/2016","Watford","Leicester","Jonathan Moss","0","1","A"
"7044","05-03-16 16:00","England","Premier League","2015/2016","Chelsea","Stoke","Mark Clattenburg","1","1","D"
"7045","05-03-16 16:00","England","Premier League","2015/2016","Everton","West Ham","Anthony Taylor","2","3","A"
"7046","05-03-16 16:00","England","Premier League","2015/2016","Manchester City","Aston Villa","Lee Mason","4","0","H"
"7047","05-03-16 16:00","England","Premier League","2015/2016","Newcastle","Bournemouth","Paul Tierney","1","3","A"
"7048","05-03-16 16:00","England","Premier League","2015/2016","Southampton","Sunderland","Neil Swarbrick","1","1","D"
"7049","05-03-16 16:00","England","Premier League","2015/2016","Swansea","Norwich","Craig Pawson","1","0","H"
"7050","05-03-16 13:45","England","Premier League","2015/2016","Tottenham","Arsenal","Michael Oliver","2","2","D"
"7051","02-03-16 21:00","England","Premier League","2015/2016","Liverpool","Manchester City","Martin Atkinson","3","0","H"
"7052","02-03-16 21:00","England","Premier League","2015/2016","Manchester Utd","Watford","Mike Jones","1","0","H"
"7053","02-03-16 20:45","England","Premier League","2015/2016","Arsenal","Swansea","Robert Madley","1","2","A"
"7054","02-03-16 20:45","England","Premier League","2015/2016","Stoke","Newcastle","Neil Swarbrick","1","0","H"
"7055","02-03-16 20:45","England","Premier League","2015/2016","West Ham","Tottenham","Andre Marriner","1","0","H"
"7056","01-03-16 20:45","England","Premier League","2015/2016","Aston Villa","Everton","Roger East","1","3","A"
"7057","01-03-16 20:45","England","Premier League","2015/2016","Bournemouth","Southampton","Mike Dean","2","0","H"
"7058","01-03-16 20:45","England","Premier League","2015/2016","Leicester","West Brom","Mark Clattenburg","2","2","D"
"7059","01-03-16 20:45","England","Premier League","2015/2016","Norwich","Chelsea","Lee Mason","1","2","A"
"7060","01-03-16 20:45","England","Premier League","2015/2016","Sunderland","Crystal Palace","Anthony Taylor","2","2","D"
"7061","28-02-16 15:05","England","Premier League","2015/2016","Manchester Utd","Arsenal","Craig Pawson","3","2","H"
"7062","28-02-16 15:05","England","Premier League","2015/2016","Tottenham","Swansea","Mike Jones","2","1","H"
"7063","27-02-16 18:30","England","Premier League","2015/2016","West Brom","Crystal Palace","Jonathan Moss","3","2","H"
"7064","27-02-16 16:00","England","Premier League","2015/2016","Leicester","Norwich","Neil Swarbrick","1","0","H"
"7065","27-02-16 16:00","England","Premier League","2015/2016","Southampton","Chelsea","Martin Atkinson","1","2","A"
"7066","27-02-16 16:00","England","Premier League","2015/2016","Stoke","Aston Villa","Kevin Friend","2","1","H"
"7067","27-02-16 16:00","England","Premier League","2015/2016","Watford","Bournemouth","Anthony Taylor","0","0","D"
"7068","27-02-16 13:45","England","Premier League","2015/2016","West Ham","Sunderland","Mike Dean","1","0","H"
"7069","14-02-16 17:15","England","Premier League","2015/2016","Manchester City","Tottenham","Mark Clattenburg","1","2","A"
"7070","14-02-16 15:05","England","Premier League","2015/2016","Aston Villa","Liverpool","Neil Swarbrick","0","6","A"
"7071","14-02-16 13:00","England","Premier League","2015/2016","Arsenal","Leicester","Martin Atkinson","2","1","H"
"7072","13-02-16 18:30","England","Premier League","2015/2016","Chelsea","Newcastle","Roger East","5","1","H"
"7073","13-02-16 16:00","England","Premier League","2015/2016","Bournemouth","Stoke","Graham Scott","1","3","A"
"7074","13-02-16 16:00","England","Premier League","2015/2016","Crystal Palace","Watford","Robert Madley","1","2","A"
"7075","13-02-16 16:00","England","Premier League","2015/2016","Everton","West Brom","Michael Oliver","0","1","A"
"7076","13-02-16 16:00","England","Premier League","2015/2016","Norwich","West Ham","Mike Jones","2","2","D"
"7077","13-02-16 16:00","England","Premier League","2015/2016","Swansea","Southampton","Jonathan Moss","0","1","A"
"7078","13-02-16 13:45","England","Premier League","2015/2016","Sunderland","Manchester Utd","Andre Marriner","2","1","H"
"7079","07-02-16 17:00","England","Premier League","2015/2016","Chelsea","Manchester Utd","Michael Oliver","1","1","D"
"7080","07-02-16 14:30","England","Premier League","2015/2016","Bournemouth","Arsenal","Kevin Friend","0","2","A"
"7081","06-02-16 18:30","England","Premier League","2015/2016","Southampton","West Ham","Mark Clattenburg","1","0","H"
"7082","06-02-16 16:00","England","Premier League","2015/2016","Aston Villa","Norwich","Martin Atkinson","2","0","H"
"7083","06-02-16 16:00","England","Premier League","2015/2016","Liverpool","Sunderland","Robert Madley","2","2","D"
"7084","06-02-16 16:00","England","Premier League","2015/2016","Newcastle","West Brom","Lee Mason","1","0","H"
"7085","06-02-16 16:00","England","Premier League","2015/2016","Stoke","Everton","Andre Marriner","0","3","A"
"7086","06-02-16 16:00","England","Premier League","2015/2016","Swansea","Crystal Palace","Mike Dean","1","1","D"
"7087","06-02-16 16:00","England","Premier League","2015/2016","Tottenham","Watford","Roger East","1","0","H"
"7088","06-02-16 13:45","England","Premier League","2015/2016","Manchester City","Leicester","Anthony Taylor","1","3","A"
"7089","03-02-16 20:45","England","Premier League","2015/2016","Everton","Newcastle","Craig Pawson","3","0","H"
"7090","03-02-16 20:45","England","Premier League","2015/2016","Watford","Chelsea","Mike Dean","0","0","D"
"7091","02-02-16 21:00","England","Premier League","2015/2016","Crystal Palace","Bournemouth","Mike Jones","1","2","A"
"7092","02-02-16 21:00","England","Premier League","2015/2016","Manchester Utd","Stoke","Roger East","3","0","H"
"7093","02-02-16 21:00","England","Premier League","2015/2016","West Brom","Swansea","Neil Swarbrick","1","1","D"
"7094","02-02-16 20:45","England","Premier League","2015/2016","Arsenal","Southampton","Lee Mason","0","0","D"
"7095","02-02-16 20:45","England","Premier League","2015/2016","Leicester","Liverpool","Andre Marriner","2","0","H"
"7096","02-02-16 20:45","England","Premier League","2015/2016","Norwich","Tottenham","Kevin Friend","0","3","A"
"7097","02-02-16 20:45","England","Premier League","2015/2016","Sunderland","Manchester City","Stuart Attwell","0","1","A"
"7098","02-02-16 20:45","England","Premier League","2015/2016","West Ham","Aston Villa","Jonathan Moss","2","0","H"
"7099","24-01-16 17:00","England","Premier League","2015/2016","Arsenal","Chelsea","Mark Clattenburg","0","1","A"
"7100","24-01-16 14:30","England","Premier League","2015/2016","Everton","Swansea","Anthony Taylor","1","2","A"
"7101","23-01-16 18:30","England","Premier League","2015/2016","West Ham","Manchester City","Craig Pawson","2","2","D"
"7102","23-01-16 16:00","England","Premier League","2015/2016","Crystal Palace","Tottenham","Martin Atkinson","1","3","A"
"7103","23-01-16 16:00","England","Premier League","2015/2016","Leicester","Stoke","Mike Dean","3","0","H"
"7104","23-01-16 16:00","England","Premier League","2015/2016","Manchester Utd","Southampton","Mike Jones","0","1","A"
"7105","23-01-16 16:00","England","Premier League","2015/2016","Sunderland","Bournemouth","Roger East","1","1","D"
"7106","23-01-16 16:00","England","Premier League","2015/2016","Watford","Newcastle","Andre Marriner","2","1","H"
"7107","23-01-16 16:00","England","Premier League","2015/2016","West Brom","Aston Villa","Robert Madley","0","0","D"
"7108","23-01-16 13:45","England","Premier League","2015/2016","Norwich","Liverpool","Lee Mason","4","5","A"
"7109","18-01-16 21:00","England","Premier League","2015/2016","Swansea","Watford","Michael Oliver","1","0","H"
"7110","17-01-16 17:15","England","Premier League","2015/2016","Stoke","Arsenal","Craig Pawson","0","0","D"
"7111","17-01-16 15:05","England","Premier League","2015/2016","Liverpool","Manchester Utd","Mark Clattenburg","0","1","A"
"7112","16-01-16 18:30","England","Premier League","2015/2016","Aston Villa","Leicester","Roger East","1","1","D"
"7113","16-01-16 16:00","England","Premier League","2015/2016","Bournemouth","Norwich","Robert Madley","3","0","H"
"7114","16-01-16 16:00","England","Premier League","2015/2016","Chelsea","Everton","Mike Jones","3","3","D"
"7115","16-01-16 16:00","England","Premier League","2015/2016","Manchester City","Crystal Palace","Jonathan Moss","4","0","H"
"7116","16-01-16 16:00","England","Premier League","2015/2016","Newcastle","West Ham","Neil Swarbrick","2","1","H"
"7117","16-01-16 16:00","England","Premier League","2015/2016","Southampton","West Brom","Martin Atkinson","3","0","H"
"7118","16-01-16 13:45","England","Premier League","2015/2016","Tottenham","Sunderland","Mike Dean","4","1","H"
"7119","13-01-16 21:00","England","Premier League","2015/2016","Liverpool","Arsenal","Mike Jones","3","3","D"
"7120","13-01-16 21:00","England","Premier League","2015/2016","Tottenham","Leicester","Lee Mason","0","1","A"
"7121","13-01-16 20:45","England","Premier League","2015/2016","Chelsea","West Brom","Anthony Taylor","2","2","D"
"7122","13-01-16 20:45","England","Premier League","2015/2016","Manchester City","Everton","Roger East","0","0","D"
"7123","13-01-16 20:45","England","Premier League","2015/2016","Southampton","Watford","Craig Pawson","2","0","H"
"7124","13-01-16 20:45","England","Premier League","2015/2016","Stoke","Norwich","Neil Swarbrick","3","1","H"
"7125","13-01-16 20:45","England","Premier League","2015/2016","Swansea","Sunderland","Graham Scott","2","4","A"
"7126","12-01-16 20:45","England","Premier League","2015/2016","Aston Villa","Crystal Palace","Mark Clattenburg","1","0","H"
"7127","12-01-16 20:45","England","Premier League","2015/2016","Bournemouth","West Ham","Martin Atkinson","1","3","A"
"7128","12-01-16 20:45","England","Premier League","2015/2016","Newcastle","Manchester Utd","Mike Dean","3","3","D"
"7129","03-01-16 17:00","England","Premier League","2015/2016","Everton","Tottenham","Michael Oliver","1","1","D"
"7130","03-01-16 14:30","England","Premier League","2015/2016","Crystal Palace","Chelsea","Kevin Friend","0","3","A"
"7131","02-01-16 18:30","England","Premier League","2015/2016","Watford","Manchester City","Martin Atkinson","1","2","A"
"7132","02-01-16 16:00","England","Premier League","2015/2016","Arsenal","Newcastle","Anthony Taylor","1","0","H"
"7133","02-01-16 16:00","England","Premier League","2015/2016","Leicester","Bournemouth","Andre Marriner","0","0","D"
"7134","02-01-16 16:00","England","Premier League","2015/2016","Manchester Utd","Swansea","Jonathan Moss","2","1","H"
"7135","02-01-16 16:00","England","Premier League","2015/2016","Norwich","Southampton","Mark Clattenburg","1","0","H"
"7136","02-01-16 16:00","England","Premier League","2015/2016","Sunderland","Aston Villa","Craig Pawson","3","1","H"
"7137","02-01-16 16:00","England","Premier League","2015/2016","West Brom","Stoke","Lee Mason","2","1","H"
"7138","02-01-16 13:45","England","Premier League","2015/2016","West Ham","Liverpool","Robert Madley","2","0","H"
"7139","30-12-15 20:45","England","Premier League","2015/2016","Sunderland","Liverpool","Kevin Friend","0","1","A"
"7140","29-12-15 20:45","England","Premier League","2015/2016","Leicester","Manchester City","Craig Pawson","0","0","D"
"7141","28-12-15 18:30","England","Premier League","2015/2016","Arsenal","Bournemouth","Roger East","2","0","H"
"7142","28-12-15 18:30","England","Premier League","2015/2016","Manchester Utd","Chelsea","Martin Atkinson","0","0","D"
"7143","28-12-15 18:30","England","Premier League","2015/2016","West Ham","Southampton","Michael Oliver","2","1","H"
"7144","28-12-15 16:00","England","Premier League","2015/2016","Crystal Palace","Swansea","Neil Swarbrick","0","0","D"
"7145","28-12-15 16:00","England","Premier League","2015/2016","Everton","Stoke","Mark Clattenburg","3","4","A"
"7146","28-12-15 16:00","England","Premier League","2015/2016","Norwich","Aston Villa","Graham Scott","2","0","H"
