"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"5049","23-05-21 17:00","England","Premier League","2020/2021","Arsenal","Brighton","1.65","4.30","5.23","1.02","16.10","1.20","4.84","1.62","2.37","2.49","1.56","4.49","1.22","1.64","2.26"
"5050","23-05-21 17:00","England","Premier League","2020/2021","Aston Villa","Chelsea","7.15","4.86","1.46","1.01","16.00","1.20","4.84","1.57","2.47","2.40","1.60","4.49","1.22","1.72","2.13"
"5051","23-05-21 17:00","England","Premier League","2020/2021","Fulham","Newcastle","2.61","3.48","2.78","1.04","11.80","1.24","4.30","1.78","2.15","2.85","1.45","5.60","1.16","1.61","2.31"
"5052","23-05-21 17:00","England","Premier League","2020/2021","Leeds","West Brom","1.54","4.85","5.76","1.01","19.00","1.17","5.38","1.45","2.82","2.21","1.70","3.87","1.28","1.57","2.41"
"5053","23-05-21 17:00","England","Premier League","2020/2021","Leicester","Tottenham","1.83","4.60","3.74","1.01","17.00","1.17","5.32","1.50","2.66","2.23","1.68","3.90","1.27","1.49","2.60"
"5054","23-05-21 17:00","England","Premier League","2020/2021","Liverpool","Crystal Palace","1.15","9.39","17.80","1.01","17.00","1.08","8.60","1.29","3.76","1.78","2.15","2.68","1.50","1.78","2.04"
"5055","23-05-21 17:00","England","Premier League","2020/2021","Manchester City","Everton","1.31","6.09","9.83","1.02","13.00","1.13","6.45","1.42","2.96","2.09","1.83","3.43","1.33","1.72","2.13"
"5056","23-05-21 17:00","England","Premier League","2020/2021","Sheffield Utd","Burnley","3.08","3.47","2.40","1.04","11.80","1.24","4.30","1.78","2.15","2.85","1.45","5.60","1.16","1.61","2.31"
"5057","23-05-21 17:00","England","Premier League","2020/2021","West Ham","Southampton","1.78","3.97","4.58","1.03","14.00","1.21","4.66","1.72","2.26","2.68","1.50","5.06","1.18","1.64","2.26"
"5058","23-05-21 17:00","England","Premier League","2020/2021","Wolves","Manchester Utd","2.23","3.73","3.17","1.08","8.60","1.42","2.96","2.21","1.70","4.18","1.25","8.66","1.08","1.91","1.90"
"5059","19-05-21 21:15","England","Premier League","2020/2021","Burnley","Liverpool","9.95","6.17","1.30","1.02","15.00","1.11","6.99","1.33","3.44","1.86","2.05","3.03","1.41","1.64","2.26"
"5060","19-05-21 21:15","England","Premier League","2020/2021","West Brom","West Ham","5.52","4.31","1.62","1.02","16.10","1.20","4.84","1.62","2.37","2.49","1.56","4.49","1.22","1.61","2.31"
"5061","19-05-21 20:00","England","Premier League","2020/2021","Crystal Palace","Arsenal","6.34","4.31","1.56","1.06","10.60","1.31","3.62","2.01","1.90","3.57","1.31","7.12","1.11","1.96","1.85"
"5062","19-05-21 19:00","England","Premier League","2020/2021","Everton","Wolves","1.73","4.13","4.76","1.07","9.57","1.31","3.62","2.01","1.90","3.57","1.31","7.12","1.11","1.85","1.96"
"5063","19-05-21 19:00","England","Premier League","2020/2021","Newcastle","Sheffield Utd","1.88","3.68","4.40","1.03","13.80","1.24","4.26","1.80","2.13","2.88","1.44","5.11","1.18","1.61","2.31"
"5064","19-05-21 19:00","England","Premier League","2020/2021","Tottenham","Aston Villa","1.60","4.91","4.99","1.01","16.00","1.17","5.38","1.54","2.55","2.31","1.64","4.18","1.25","1.57","2.41"
"5065","18-05-21 21:15","England","Premier League","2020/2021","Chelsea","Leicester","1.67","4.13","5.26","1.07","9.57","1.34","3.40","2.11","1.81","3.90","1.27","7.97","1.09","1.96","1.85"
"5066","18-05-21 20:00","England","Premier League","2020/2021","Brighton","Manchester City","7.72","4.62","1.46","1.03","14.00","1.24","4.30","1.72","2.26","2.68","1.50","5.06","1.18","1.85","1.96"
"5067","18-05-21 19:00","England","Premier League","2020/2021","Manchester Utd","Fulham","1.30","6.11","10.30","1.01","17.00","1.17","5.32","1.55","2.53","2.33","1.63","4.22","1.24","1.85","1.96"
"5068","18-05-21 19:00","England","Premier League","2020/2021","Southampton","Leeds","2.59","4.11","2.49","1.01","16.00","1.17","5.32","1.55","2.53","2.33","1.63","4.22","1.24","1.46","2.72"
"5069","16-05-21 20:00","England","Premier League","2020/2021","Everton","Sheffield Utd","1.35","5.36","9.87","1.04","11.80","1.24","4.30","1.78","2.15","2.85","1.45","5.60","1.16","1.96","1.85"
"5070","16-05-21 17:30","England","Premier League","2020/2021","West Brom","Liverpool","13.20","7.69","1.21","1.02","15.00","1.13","6.38","1.37","3.19","2.01","1.90","3.24","1.36","1.78","2.04"
"5071","16-05-21 15:05","England","Premier League","2020/2021","Tottenham","Wolves","1.53","4.58","6.29","1.02","16.30","1.21","4.71","1.60","2.39","2.65","1.50","5.01","1.19","1.65","2.24"
"5072","16-05-21 13:00","England","Premier League","2020/2021","Crystal Palace","Aston Villa","3.30","3.58","2.23","1.03","14.00","1.24","4.30","1.78","2.15","2.85","1.45","5.60","1.16","1.55","2.46"
"5073","15-05-21 21:00","England","Premier League","2020/2021","Brighton","West Ham","3.75","3.70","2.02","1.03","14.00","1.26","4.03","1.86","2.05","3.03","1.41","6.12","1.14","1.63","2.28"
"5074","15-05-21 16:00","England","Premier League","2020/2021","Southampton","Fulham","1.83","3.90","4.37","1.03","14.00","1.24","4.30","1.78","2.15","2.85","1.45","5.60","1.16","1.66","2.22"
"5075","15-05-21 13:30","England","Premier League","2020/2021","Burnley","Leeds","3.85","3.99","1.92","1.02","15.80","1.20","4.74","1.59","2.42","2.54","1.54","4.57","1.22","1.54","2.48"
"5076","14-05-21 21:00","England","Premier League","2020/2021","Newcastle","Manchester City","9.20","5.88","1.33","1.01","19.00","1.15","5.79","1.44","2.89","2.13","1.80","3.50","1.32","1.67","2.21"
"5077","13-05-21 21:15","England","Premier League","2020/2021","Manchester Utd","Liverpool","2.73","4.11","2.36","1.02","16.30","1.19","4.89","1.60","2.39","2.47","1.57","4.44","1.22","1.47","2.66"
